GLOBAL_ID,advertisement_id
12318,4c09558a-a853-4fea-b8a6-a7fecbf2de27
12368,619c205e-5607-4b2b-8ac7-f858e680e928
12473,1D8696F2-8FE4-4FA5-82D0-85D0627B50E9
12520,84fcbaea-7830-48db-bba0-2818b9a03b0f
12680,83a8800b-e4fb-403a-ba37-74a1d1936c75
12723,989e532b-928e-4796-a6bd-11c4b05e0f08
12868,aff48800-5b36-407e-a80b-cbb8ce6560ed
12921,699371b9-e2e1-4662-b6ca-e59f92cc4cfd
12979,e570bc83-8f9b-4f37-bb0c-8fa36b779ae5
13047,Opt-out
13062,Opt-out
13216,c87b48c1-6ddd-4465-aacc-f76be4568d7e
13254,Opt-out
13451,abe38133-a773-4924-b205-8c37e8cefc69
13546,448302bc-474e-41c9-aafc-781686f7b9a8
13578,Opt-out
13700,62a0aadd-05c4-4a46-8c21-93111e2908f4
13707,b024ab99-bf69-4d7e-9d6f-2fbd615419da
13857,Opt-out
13863,ea2eada5-d82b-49ae-9aca-2bb5009813d6
13870,39fcfe29-ce1f-4820-9573-109917f31944
13948,39270C05-C6B5-4E40-B59D-82C972686717
13987,C1D7BF85-C5EE-4C35-A919-781D993D9F03
14027,0621562A-CE0E-4531-8578-1A617A4FF567
14053,b20d81e1-aad9-4a41-bdd5-51ddc5e53631
14067,41BCC8DC-EE72-43DC-A572-6E54E44508CF
14119,Opt-out
14371,a8555748-f94c-499f-8853-4be7b5bfa85f
14417,f8bd8d3b-c30a-4258-8305-36d5712a5777
14494,Opt-out
14501,d1ba4037-7c59-4c3b-9d65-92fe1cf3605c
14591,e2e5b7a6-2826-4d31-b00f-bf46eab9e6ce
14631,Opt-out
14682,a67b0609-37ae-4892-be6d-ffddadb31a61
14704,Opt-out
14831,21be25db-0126-4da1-bbc1-b05e98b86c6c
14876,6fb5ec85-3246-469f-a0cf-d32d7cff1cc1
14929,Opt-out
14967,cd0ef126-fe25-4b03-9cba-356874691372
14974,3C59447E-227F-427C-9859-7927E0A3C471
15022,9477C19D-AC3D-4EAF-B687-3B4473A49DD9
15052,Opt-out
15080,Opt-out
